ccode1,ccode2,capdist,iso_o,iso_d
115,840,17706.19404354988,SUR,PHL
115,732,15194.164560783083,SUR,KOR
115,811,17106.454630284505,SUR,KHM
115,812,16459.77583010331,SUR,LAO
115,775,16000.506765578646,SUR,MMR
115,800,16616.64338900888,SUR,THA
115,816,16401.628039617273,SUR,VNM
115,983,14707.727106169465,SUR,MHL
115,987,16084.755689784452,SUR,FSM
115,571,9389.89528750245,SUR,BWA
115,516,9455.042828927957,SUR,BDI
115,501,10256.24095703958,SUR,KEN
115,517,9515.93140986173,SUR,RWA
115,551,9492.731771449531,SUR,ZMB
115,552,9817.368197306347,SUR,ZWE
115,581,11064.976974667674,SUR,COM
115,570,9623.230016280857,SUR,LSO
115,553,10063.622817299416,SUR,MWI
115,541,10076.72408643391,SUR,MOZ
115,560,9638.922331324751,SUR,ZAF
115,572,9935.76122700467,SUR,SWZ
115,540,7765.20940597434,SUR,AGO
115,484,7914.1936777401,SUR,COG
115,490,7918.5588332084035,SUR,COD
115,950,14104.716705155975,SUR,FJI
115,481,7207.462790863946,SUR,GAB
115,565,8463.615503608316,SUR,NAM
115,920,13690.688684882407,SUR,NZL
115,580,11561.977635623309,SUR,MDG
115,590,12608.083025258065,SUR,MUS
115,591,12352.47671459429,SUR,SYC
115,860,19679.974725016902,SUR,TLS
115,900,15915.551379651222,SUR,AUS
115,970,15312.071806970931,SUR,NRU
115,910,17554.549294566466,SUR,PNG
115,940,16133.978647639775,SUR,SLB
115,947,14047.22299916109,SUR,TUV
115,935,15159.243100395015,SUR,VUT
115,20,4814.709937319797,SUR,CAN
115,255,8055.22568801793,SUR,DEU
115,713,16575.31778414373,SUR,TWN
115,710,14858.1798514733,SUR,CHN
115,820,17309.751450061074,SUR,MYS
115,830,17591.165421470505,SUR,SGP
115,850,18066.15868244425,SUR,IDN
115,620,7645.604402328616,SUR,LBY
115,483,7757.872492044848,SUR,TCD
115,666,9715.51240995724,SUR,ISR
115,652,9797.56326523386,SUR,SYR
115,651,9351.291117235845,SUR,EGY
115,750,13658.614962359703,SUR,IND
115,341,8300.62146518654,SUR,MNE
115,347,8458.590175473775,SUR,KOS
115,345,8424.864018530423,SUR,SRB
115,2,4269.335670458991,SUR,USA
115,510,10191.134534570721,SUR,TZA
115,600,5870.203285894057,SUR,MAR
115,435,4467.981161387868,SUR,MRT
115,625,9602.937418554578,SUR,SDN
115,626,9610.994893305147,SUR,SSD
52,110,559.5702259648249,TTO,GUY
52,115,874.7906241653642,TTO,SUR
52,52,0,TTO,TTO
52,101,591.2074691415809,TTO,VEN
52,990,12490.098381635178,TTO,WSM
52,955,12863.860212277976,TTO,TON
52,160,5016.666266233002,TTO,ARG
52,145,3092.0156523381565,TTO,BOL
52,140,3286.8732271988897,TTO,BRA
52,155,4982.3235478558345,TTO,CHL
52,130,2232.6733940354493,TTO,ECU
52,150,3998.3188651948253,TTO,PRY
52,135,3044.209386186943,TTO,PER
52,165,5072.13517329226,TTO,URY
52,90,3178.712368145869,TTO,GTM
52,70,4148.625150663955,TTO,MEX
52,53,341.02279949841403,TTO,BRB
52,54,514.5439284739309,TTO,DMA
52,55,158.28713725985833,TTO,GRD
52,56,374.55940085471036,TTO,LCA
52,57,280.30753362083607,TTO,VCT
52,42,1251.3444245034555,TTO,DOM
52,41,1453.7303181251182,TTO,HTI
52,51,1838.5442843764638,TTO,JAM
52,31,2309.7670380630448,TTO,BHS
52,80,3035.5077526742557,TTO,BLZ
52,100,1542.2696982827676,TTO,COL
52,94,2476.3396505222495,TTO,CRI
52,40,2614.81140535635,TTO,CUB
52,92,3031.789664470618,TTO,SLV
52,91,2819.241905104531,TTO,HND
52,93,2710.768989594219,TTO,NIC
52,95,1983.098461860877,TTO,PAN
52,58,716.7664122211281,TTO,ATG
52,60,747.073477240907,TTO,KNA
52,395,6691.695834123394,TTO,ISL
52,205,6796.448679131597,TTO,IRL
52,200,7122.107313729468,TTO,GBR
52,402,4147.940767188347,TTO,CPV
52,437,6192.8907392257215,TTO,CIV
52,452,6768.351858100635,TTO,GHA
52,450,5597.4819447110585,TTO,LBR
52,235,6037.395426327721,TTO,PRT
52,230,6537.935634952918,TTO,ESP
52,439,6532.221094895216,TTO,BFA
52,438,5235.915430598765,TTO,GIN
52,404,5008.24414353746,TTO,GNB
52,432,5828.1320281602775,TTO,MLI
52,433,4793.303469873265,TTO,SEN
52,451,5302.773480260882,TTO,SLE
52,420,4892.28255752648,TTO,GMB
52,522,11345.28751966813,TTO,DJI
52,531,10805.196411854167,TTO,ERI
52,530,10933.955221488824,TTO,ETH
52,712,13418.832318556513,TTO,MNG
52,500,10456.543760758655,TTO,UGA
52,645,10808.320070642125,TTO,IRQ
52,663,10084.115636484663,TTO,JOR
52,705,11799.666247734765,TTO,KAZ
52,385,8000.194644343162,TTO,NOR
52,365,9600.009307932762,TTO,RUS
52,380,8401.598265581835,TTO,SWE
52,615,7046.571293147998,TTO,DZA
52,232,7011.1807438108945,TTO,AND
52,471,8082.913127391494,TTO,CMR
52,482,8846.194983242434,TTO,CAF
52,221,7506.400221122354,TTO,MCO
52,616,7681.283341674823,TTO,TUN
52,434,7062.36687166388,TTO,BEN
52,411,7786.083648859785,TTO,GNQ
52,946,13858.22019529921,TTO,KIR
52,436,6914.651736078996,TTO,NER
52,475,7557.899789005993,TTO,NGA
52,403,7625.605585037879,TTO,STP
52,461,6941.137924093767,TTO,TGO
52,339,8514.215452391369,TTO,ALB
52,346,8387.939181100404,TTO,BIH
52,344,8200.090794477082,TTO,HRV
52,325,7902.964563819183,TTO,ITA
52,343,8644.610343765882,TTO,MKD
52,338,8069.116665000859,TTO,MLT
52,331,7911.566860797495,TTO,SMR
52,355,8794.155450259253,TTO,BGR
52,352,9775.027495106508,TTO,CYP
52,372,10547.502062315336,TTO,GEO
52,350,8875.969044537662,TTO,GRC
52,660,9997.741602741917,TTO,LBN
52,640,9627.538441486286,TTO,TUR
52,305,8234.94837065598,TTO,AUT
52,316,8106.383068243589,TTO,CZE
52,390,8038.152967767092,TTO,DNK
52,310,8437.427264507101,TTO,HUN
52,290,8569.260731444714,TTO,POL
52,317,8290.572582491011,TTO,SVK
52,349,8085.848795989459,TTO,SVN
52,211,7405.665799831258,TTO,BEL
52,220,7217.731101870456,TTO,FRA
52,223,7713.451027765912,TTO,LIE
