iso3,year,cow_code,toa,legal_origin,dur_rat1membership,equalindx_WoL,country_names
MDA,1904,359,1996,2,NA,NA,Moldova
MDG,1904,580,1961,2,NA,NA,Madagascar
MEX,1904,70,1961,2,NA,NA,Mexico
MKD,1904,343,1991,2,NA,NA,North Macedonia
MLI,1904,432,1964,2,NA,NA,Mali
MMR,1904,775,NA,5,NA,NA,Myanmar (Burma)
MNE,1904,341,2006,NA,NA,NA,Montenegro
MNG,1904,712,1969,3,NA,NA,Mongolia
MOZ,1904,541,1977,2,NA,NA,Mozambique
MRT,1904,435,1963,2,NA,NA,Mauritania
MUS,1904,590,2002,2,NA,NA,Mauritius
MWI,1904,553,1965,1,NA,NA,Malawi
MYS,1904,820,NA,1,NA,NA,Malaysia
NAM,1904,565,2001,1,NA,NA,Namibia
NER,1904,436,1962,2,NA,NA,Niger
NGA,1904,475,2002,1,NA,NA,Nigeria
NIC,1904,93,1967,2,NA,NA,Nicaragua
NLD,1904,210,1973,2,NA,NA,Netherlands
NOR,1904,385,1959,4,NA,NA,Norway
NPL,1904,790,1974,1,NA,NA,Nepal
NZL,1904,920,1983,1,NA,NA,New Zealand
OMN,1904,698,NA,2,NA,NA,Oman
PAK,1904,770,1961,1,NA,NA,Pakistan
PAN,1904,95,1966,2,NA,NA,Panama
PER,1904,135,1970,2,NA,NA,Peru
PHL,1904,840,1960,2,NA,NA,Philippines
PNG,1904,910,2000,1,NA,NA,Papua New Guinea
POL,1904,290,1961,3,NA,NA,Poland
PRK,1904,NA,NA,NA,NA,NA,North Korea
PRT,1904,235,1959,2,NA,NA,Portugal
PRY,1904,150,1967,2,NA,NA,Paraguay
QAT,1904,694,1976,2,NA,NA,Qatar
ROU,1904,360,1973,2,NA,NA,Romania
RUS,1904,365,1961,2,NA,NA,Russia
RWA,1904,517,1981,2,NA,NA,Rwanda
SAU,1904,670,1978,1,NA,NA,Saudi Arabia
SDN,1904,625,1970,1,NA,NA,Sudan
SEN,1904,433,1967,2,NA,NA,Senegal
SGP,1904,830,NA,1,NA,NA,Singapore
SLB,1904,940,2012,1,NA,NA,Solomon Islands
SLE,1904,451,1966,1,NA,NA,Sierra Leone
SLV,1904,92,1995,2,NA,NA,El Salvador
SOM,1904,520,1961,NA,NA,NA,Somalia
SRB,1904,345,2000,2,NA,NA,Serbia
SSD,1904,626,2012,NA,NA,NA,South Sudan
SUR,1904,115,2017,2,NA,NA,Suriname
SVK,1904,317,1993,3,NA,NA,Slovakia
SVN,1904,349,1992,3,NA,NA,Slovenia
SWE,1904,380,1962,4,NA,NA,Sweden
SWZ,1904,572,1981,1,NA,NA,Eswatini
SYR,1904,652,1960,2,NA,NA,Syria
TCD,1904,483,1966,2,NA,NA,Chad
TGO,1904,461,1983,2,NA,NA,Togo
THA,1904,800,2017,1,NA,NA,Thailand
TJK,1904,702,1993,2,NA,NA,Tajikistan
TKM,1904,701,1997,2,NA,NA,Turkmenistan
TLS,1904,860,2016,NA,NA,NA,Timor-Leste
TTO,1904,52,1970,1,NA,NA,Trinidad & Tobago
TUN,1904,616,1959,2,NA,NA,Tunisia
TUR,1904,640,1967,2,NA,NA,Turkey
TZA,1904,510,2002,1,NA,NA,Tanzania
UGA,1904,500,2005,1,NA,NA,Uganda
UKR,1904,369,1961,2,NA,NA,Ukraine
URY,1904,165,1989,2,NA,NA,Uruguay
USA,1904,2,NA,1,NA,NA,United States
UZB,1904,704,1992,2,NA,NA,Uzbekistan
VEN,1904,101,1971,2,NA,NA,Venezuela
VNM,1904,816,1997,2,NA,NA,Vietnam
YEM,1904,679,1969,2,NA,NA,Yemen
ZAF,1904,560,1997,1,NA,NA,South Africa
ZMB,1904,551,1979,1,NA,NA,Zambia
ZWE,1904,552,1999,1,NA,NA,Zimbabwe
AFG,1905,700,1969,2,NA,NA,Afghanistan
AGO,1905,540,1976,2,NA,NA,Angola
ALB,1905,339,1997,2,NA,NA,Albania
ARE,1905,696,2001,1,NA,NA,United Arab Emirates
ARG,1905,160,1968,2,NA,NA,Argentina
ARM,1905,371,1994,2,NA,NA,Armenia
AUS,1905,900,1973,1,NA,NA,Australia
AUT,1905,305,1973,3,NA,NA,Austria
AZE,1905,373,1992,2,NA,NA,Azerbaijan
BDI,1905,516,1993,2,NA,NA,Burundi
BEL,1905,211,1977,2,NA,NA,Belgium
BEN,1905,434,1961,2,NA,NA,Benin
BFA,1905,439,1962,2,NA,NA,Burkina Faso
BGD,1905,771,1972,1,NA,NA,Bangladesh
BGR,1905,355,1960,3,NA,NA,Bulgaria
BHR,1905,692,2000,1,NA,NA,Bahrain
BIH,1905,346,1993,3,NA,NA,Bosnia & Herzegovina
BLR,1905,370,1961,3,NA,NA,Belarus
BOL,1905,145,1977,2,NA,NA,Bolivia
BRA,1905,140,1965,2,NA,NA,Brazil
BTN,1905,NA,NA,NA,NA,NA,Bhutan
BWA,1905,571,1997,1,NA,NA,Botswana
CAF,1905,482,1964,2,NA,NA,Central African Republic
CAN,1905,20,1964,1,NA,NA,Canada
CHE,1905,225,1961,3,NA,NA,Switzerland
CHL,1905,155,1971,2,NA,NA,Chile
CHN,1905,710,2006,3,NA,NA,China
CIV,1905,437,1961,2,NA,NA,Côte d’Ivoire
CMR,1905,471,1988,2,NA,NA,Cameroon
COD,1905,490,2001,2,NA,NA,Congo - Kinshasa
COG,1905,484,1999,2,NA,NA,Congo - Brazzaville
COL,1905,100,1969,2,NA,NA,Colombia
COM,1905,581,2004,2,NA,NA,Comoros
CPV,1905,402,1979,2,NA,NA,Cape Verde
CRI,1905,94,1962,2,NA,NA,Costa Rica
CUB,1905,40,1965,NA,NA,NA,Cuba
CYP,1905,352,1968,1,NA,NA,Cyprus
CZE,1905,316,1993,3,NA,NA,Czechia
DEU,1905,255,1961,3,NA,NA,Germany
DJI,1905,522,2005,2,NA,NA,Djibouti
DNK,1905,390,1960,4,NA,NA,Denmark
DOM,1905,42,1964,2,NA,NA,Dominican Republic
DZA,1905,615,1969,2,NA,NA,Algeria
ECU,1905,130,1962,2,NA,NA,Ecuador
EGY,1905,651,1960,2,NA,NA,Egypt
ESP,1905,230,1967,2,NA,NA,Spain
EST,1905,366,2005,3,NA,NA,Estonia
ETH,1905,530,1966,2,NA,NA,Ethiopia
FIN,1905,375,1970,4,NA,NA,Finland
FJI,1905,950,2002,1,NA,NA,Fiji
FRA,1905,220,1981,2,NA,NA,France
GAB,1905,481,1961,2,NA,NA,Gabon
GBR,1905,200,1999,1,NA,NA,United Kingdom
GEO,1905,372,1993,3,NA,NA,Georgia
GHA,1905,452,1961,1,NA,NA,Ghana
GIN,1905,438,1960,2,NA,NA,Guinea
GMB,1905,420,2000,1,NA,NA,Gambia
GNB,1905,404,1977,2,NA,NA,Guinea-Bissau
GNQ,1905,411,2001,2,NA,NA,Equatorial Guinea
GRC,1905,350,1984,2,NA,NA,Greece
GTM,1905,90,1960,2,NA,NA,Guatemala
GUY,1905,110,1975,1,NA,NA,Guyana
HND,1905,91,1960,2,NA,NA,Honduras
HRV,1905,344,1991,3,NA,NA,Croatia
HTI,1905,41,1976,2,NA,NA,Haiti
HUN,1905,310,1961,3,NA,NA,Hungary
IDN,1905,850,1999,2,NA,NA,Indonesia
IND,1905,750,1960,1,NA,NA,India
IRL,1905,205,1999,1,NA,NA,Ireland
IRN,1905,630,1964,2,NA,NA,Iran
IRQ,1905,645,1959,2,NA,NA,Iraq
ISR,1905,666,1959,1,NA,NA,Israel
ITA,1905,325,1963,2,NA,NA,Italy
JAM,1905,51,1975,1,NA,NA,Jamaica
JOR,1905,663,1963,2,NA,NA,Jordan
JPN,1905,740,NA,3,NA,NA,Japan
KAZ,1905,705,1999,2,NA,NA,Kazakhstan
KEN,1905,501,2001,1,NA,NA,Kenya
KGZ,1905,703,1992,2,NA,NA,Kyrgyzstan
KHM,1905,811,1999,2,NA,NA,Cambodia
KOR,1905,732,1998,3,NA,NA,South Korea
KWT,1905,690,1966,2,NA,NA,Kuwait
LAO,1905,812,2008,2,NA,NA,Laos
LBN,1905,660,1977,2,NA,NA,Lebanon
LBR,1905,450,1959,1,NA,NA,Liberia
LBY,1905,620,1961,2,NA,NA,Libya
LKA,1905,780,1998,1,NA,NA,Sri Lanka
LSO,1905,570,1998,1,NA,NA,Lesotho
LTU,1905,368,1994,2,NA,NA,Lithuania
LUX,1905,212,2001,2,NA,NA,Luxembourg
LVA,1905,367,1992,3,NA,NA,Latvia
MAR,1905,600,1963,2,NA,NA,Morocco
MDA,1905,359,1996,2,NA,NA,Moldova
MDG,1905,580,1961,2,NA,NA,Madagascar
MEX,1905,70,1961,2,NA,NA,Mexico
MKD,1905,343,1991,2,NA,NA,North Macedonia
MLI,1905,432,1964,2,NA,NA,Mali
MMR,1905,775,NA,5,NA,NA,Myanmar (Burma)
MNE,1905,341,2006,NA,NA,NA,Montenegro
MNG,1905,712,1969,3,NA,NA,Mongolia
MOZ,1905,541,1977,2,NA,NA,Mozambique
MRT,1905,435,1963,2,NA,NA,Mauritania
MUS,1905,590,2002,2,NA,NA,Mauritius
MWI,1905,553,1965,1,NA,NA,Malawi
MYS,1905,820,NA,1,NA,NA,Malaysia
NAM,1905,565,2001,1,NA,NA,Namibia
NER,1905,436,1962,2,NA,NA,Niger
NGA,1905,475,2002,1,NA,NA,Nigeria
NIC,1905,93,1967,2,NA,NA,Nicaragua
NLD,1905,210,1973,2,NA,NA,Netherlands
NOR,1905,385,1959,4,NA,NA,Norway
NPL,1905,790,1974,1,NA,NA,Nepal
NZL,1905,920,1983,1,NA,NA,New Zealand
OMN,1905,698,NA,2,NA,NA,Oman
PAK,1905,770,1961,1,NA,NA,Pakistan
PAN,1905,95,1966,2,NA,NA,Panama
PER,1905,135,1970,2,NA,NA,Peru
PHL,1905,840,1960,2,NA,NA,Philippines
PNG,1905,910,2000,1,NA,NA,Papua New Guinea
POL,1905,290,1961,3,NA,NA,Poland
PRK,1905,NA,NA,NA,NA,NA,North Korea
PRT,1905,235,1959,2,NA,NA,Portugal
PRY,1905,150,1967,2,NA,NA,Paraguay
QAT,1905,694,1976,2,NA,NA,Qatar
ROU,1905,360,1973,2,NA,NA,Romania
RUS,1905,365,1961,2,NA,NA,Russia
RWA,1905,517,1981,2,NA,NA,Rwanda
SAU,1905,670,1978,1,NA,NA,Saudi Arabia
SDN,1905,625,1970,1,NA,NA,Sudan
SEN,1905,433,1967,2,NA,NA,Senegal
SGP,1905,830,NA,1,NA,NA,Singapore
SLB,1905,940,2012,1,NA,NA,Solomon Islands
SLE,1905,451,1966,1,NA,NA,Sierra Leone
SLV,1905,92,1995,2,NA,NA,El Salvador
SOM,1905,520,1961,NA,NA,NA,Somalia
SRB,1905,345,2000,2,NA,NA,Serbia
SSD,1905,626,2012,NA,NA,NA,South Sudan
SUR,1905,115,2017,2,NA,NA,Suriname
SVK,1905,317,1993,3,NA,NA,Slovakia
SVN,1905,349,1992,3,NA,NA,Slovenia
SWE,1905,380,1962,4,NA,NA,Sweden
SWZ,1905,572,1981,1,NA,NA,Eswatini
SYR,1905,652,1960,2,NA,NA,Syria
TCD,1905,483,1966,2,NA,NA,Chad
TGO,1905,461,1983,2,NA,NA,Togo
THA,1905,800,2017,1,NA,NA,Thailand
TJK,1905,702,1993,2,NA,NA,Tajikistan
TKM,1905,701,1997,2,NA,NA,Turkmenistan
TLS,1905,860,2016,NA,NA,NA,Timor-Leste
TTO,1905,52,1970,1,NA,NA,Trinidad & Tobago
TUN,1905,616,1959,2,NA,NA,Tunisia
TUR,1905,640,1967,2,NA,NA,Turkey
TZA,1905,510,2002,1,NA,NA,Tanzania
UGA,1905,500,2005,1,NA,NA,Uganda
UKR,1905,369,1961,2,NA,NA,Ukraine
URY,1905,165,1989,2,NA,NA,Uruguay
USA,1905,2,NA,1,NA,NA,United States
UZB,1905,704,1992,2,NA,NA,Uzbekistan
VEN,1905,101,1971,2,NA,NA,Venezuela
VNM,1905,816,1997,2,NA,NA,Vietnam
YEM,1905,679,1969,2,NA,NA,Yemen
ZAF,1905,560,1997,1,NA,NA,South Africa
ZMB,1905,551,1979,1,NA,NA,Zambia
ZWE,1905,552,1999,1,NA,NA,Zimbabwe
AFG,1906,700,1969,2,NA,NA,Afghanistan
AGO,1906,540,1976,2,NA,NA,Angola
ALB,1906,339,1997,2,NA,NA,Albania
ARE,1906,696,2001,1,NA,NA,United Arab Emirates
ARG,1906,160,1968,2,NA,NA,Argentina
ARM,1906,371,1994,2,NA,NA,Armenia
AUS,1906,900,1973,1,NA,NA,Australia
AUT,1906,305,1973,3,NA,NA,Austria
AZE,1906,373,1992,2,NA,NA,Azerbaijan
BDI,1906,516,1993,2,NA,NA,Burundi
BEL,1906,211,1977,2,NA,NA,Belgium
BEN,1906,434,1961,2,NA,NA,Benin
BFA,1906,439,1962,2,NA,NA,Burkina Faso
BGD,1906,771,1972,1,NA,NA,Bangladesh
BGR,1906,355,1960,3,NA,NA,Bulgaria
BHR,1906,692,2000,1,NA,NA,Bahrain
BIH,1906,346,1993,3,NA,NA,Bosnia & Herzegovina
BLR,1906,370,1961,3,NA,NA,Belarus
BOL,1906,145,1977,2,NA,NA,Bolivia
BRA,1906,140,1965,2,NA,NA,Brazil
BTN,1906,NA,NA,NA,NA,NA,Bhutan
BWA,1906,571,1997,1,NA,NA,Botswana
CAF,1906,482,1964,2,NA,NA,Central African Republic
CAN,1906,20,1964,1,NA,NA,Canada
CHE,1906,225,1961,3,NA,NA,Switzerland
CHL,1906,155,1971,2,NA,NA,Chile
CHN,1906,710,2006,3,NA,NA,China
CIV,1906,437,1961,2,NA,NA,Côte d’Ivoire
CMR,1906,471,1988,2,NA,NA,Cameroon
COD,1906,490,2001,2,NA,NA,Congo - Kinshasa
COG,1906,484,1999,2,NA,NA,Congo - Brazzaville
COL,1906,100,1969,2,NA,NA,Colombia
COM,1906,581,2004,2,NA,NA,Comoros
CPV,1906,402,1979,2,NA,NA,Cape Verde
CRI,1906,94,1962,2,NA,NA,Costa Rica
CUB,1906,40,1965,NA,NA,NA,Cuba
CYP,1906,352,1968,1,NA,NA,Cyprus
CZE,1906,316,1993,3,NA,NA,Czechia
DEU,1906,255,1961,3,NA,NA,Germany
DJI,1906,522,2005,2,NA,NA,Djibouti
DNK,1906,390,1960,4,NA,NA,Denmark
DOM,1906,42,1964,2,NA,NA,Dominican Republic
DZA,1906,615,1969,2,NA,NA,Algeria
ECU,1906,130,1962,2,NA,NA,Ecuador
EGY,1906,651,1960,2,NA,NA,Egypt
ESP,1906,230,1967,2,NA,NA,Spain
EST,1906,366,2005,3,NA,NA,Estonia
ETH,1906,530,1966,2,NA,NA,Ethiopia
FIN,1906,375,1970,4,NA,NA,Finland
FJI,1906,950,2002,1,NA,NA,Fiji
FRA,1906,220,1981,2,NA,NA,France
GAB,1906,481,1961,2,NA,NA,Gabon
GBR,1906,200,1999,1,NA,NA,United Kingdom
GEO,1906,372,1993,3,NA,NA,Georgia
GHA,1906,452,1961,1,NA,NA,Ghana
GIN,1906,438,1960,2,NA,NA,Guinea
GMB,1906,420,2000,1,NA,NA,Gambia
GNB,1906,404,1977,2,NA,NA,Guinea-Bissau
GNQ,1906,411,2001,2,NA,NA,Equatorial Guinea
GRC,1906,350,1984,2,NA,NA,Greece
GTM,1906,90,1960,2,NA,NA,Guatemala
GUY,1906,110,1975,1,NA,NA,Guyana
HND,1906,91,1960,2,NA,NA,Honduras
HRV,1906,344,1991,3,NA,NA,Croatia
HTI,1906,41,1976,2,NA,NA,Haiti
HUN,1906,310,1961,3,NA,NA,Hungary
IDN,1906,850,1999,2,NA,NA,Indonesia
IND,1906,750,1960,1,NA,NA,India
IRL,1906,205,1999,1,NA,NA,Ireland
IRN,1906,630,1964,2,NA,NA,Iran
IRQ,1906,645,1959,2,NA,NA,Iraq
ISR,1906,666,1959,1,NA,NA,Israel
ITA,1906,325,1963,2,NA,NA,Italy
JAM,1906,51,1975,1,NA,NA,Jamaica
JOR,1906,663,1963,2,NA,NA,Jordan
JPN,1906,740,NA,3,NA,NA,Japan
KAZ,1906,705,1999,2,NA,NA,Kazakhstan
KEN,1906,501,2001,1,NA,NA,Kenya
KGZ,1906,703,1992,2,NA,NA,Kyrgyzstan
KHM,1906,811,1999,2,NA,NA,Cambodia
KOR,1906,732,1998,3,NA,NA,South Korea
KWT,1906,690,1966,2,NA,NA,Kuwait
LAO,1906,812,2008,2,NA,NA,Laos
LBN,1906,660,1977,2,NA,NA,Lebanon
LBR,1906,450,1959,1,NA,NA,Liberia
LBY,1906,620,1961,2,NA,NA,Libya
LKA,1906,780,1998,1,NA,NA,Sri Lanka
LSO,1906,570,1998,1,NA,NA,Lesotho
LTU,1906,368,1994,2,NA,NA,Lithuania
LUX,1906,212,2001,2,NA,NA,Luxembourg
LVA,1906,367,1992,3,NA,NA,Latvia
MAR,1906,600,1963,2,NA,NA,Morocco
MDA,1906,359,1996,2,NA,NA,Moldova
MDG,1906,580,1961,2,NA,NA,Madagascar
MEX,1906,70,1961,2,NA,NA,Mexico
MKD,1906,343,1991,2,NA,NA,North Macedonia
MLI,1906,432,1964,2,NA,NA,Mali
MMR,1906,775,NA,5,NA,NA,Myanmar (Burma)
MNE,1906,341,2006,NA,NA,NA,Montenegro
MNG,1906,712,1969,3,NA,NA,Mongolia
MOZ,1906,541,1977,2,NA,NA,Mozambique
MRT,1906,435,1963,2,NA,NA,Mauritania
MUS,1906,590,2002,2,NA,NA,Mauritius
MWI,1906,553,1965,1,NA,NA,Malawi
MYS,1906,820,NA,1,NA,NA,Malaysia
NAM,1906,565,2001,1,NA,NA,Namibia
NER,1906,436,1962,2,NA,NA,Niger
NGA,1906,475,2002,1,NA,NA,Nigeria
NIC,1906,93,1967,2,NA,NA,Nicaragua
NLD,1906,210,1973,2,NA,NA,Netherlands
NOR,1906,385,1959,4,NA,NA,Norway
NPL,1906,790,1974,1,NA,NA,Nepal
NZL,1906,920,1983,1,NA,NA,New Zealand
OMN,1906,698,NA,2,NA,NA,Oman
PAK,1906,770,1961,1,NA,NA,Pakistan
PAN,1906,95,1966,2,NA,NA,Panama
PER,1906,135,1970,2,NA,NA,Peru
PHL,1906,840,1960,2,NA,NA,Philippines
PNG,1906,910,2000,1,NA,NA,Papua New Guinea
POL,1906,290,1961,3,NA,NA,Poland
PRK,1906,NA,NA,NA,NA,NA,North Korea
PRT,1906,235,1959,2,NA,NA,Portugal
PRY,1906,150,1967,2,NA,NA,Paraguay
QAT,1906,694,1976,2,NA,NA,Qatar
ROU,1906,360,1973,2,NA,NA,Romania
RUS,1906,365,1961,2,NA,NA,Russia
RWA,1906,517,1981,2,NA,NA,Rwanda
SAU,1906,670,1978,1,NA,NA,Saudi Arabia
SDN,1906,625,1970,1,NA,NA,Sudan
SEN,1906,433,1967,2,NA,NA,Senegal
SGP,1906,830,NA,1,NA,NA,Singapore
SLB,1906,940,2012,1,NA,NA,Solomon Islands
SLE,1906,451,1966,1,NA,NA,Sierra Leone
SLV,1906,92,1995,2,NA,NA,El Salvador
SOM,1906,520,1961,NA,NA,NA,Somalia
SRB,1906,345,2000,2,NA,NA,Serbia
SSD,1906,626,2012,NA,NA,NA,South Sudan
SUR,1906,115,2017,2,NA,NA,Suriname
SVK,1906,317,1993,3,NA,NA,Slovakia
SVN,1906,349,1992,3,NA,NA,Slovenia
SWE,1906,380,1962,4,NA,NA,Sweden
SWZ,1906,572,1981,1,NA,NA,Eswatini
SYR,1906,652,1960,2,NA,NA,Syria
TCD,1906,483,1966,2,NA,NA,Chad
TGO,1906,461,1983,2,NA,NA,Togo
THA,1906,800,2017,1,NA,NA,Thailand
TJK,1906,702,1993,2,NA,NA,Tajikistan
TKM,1906,701,1997,2,NA,NA,Turkmenistan
TLS,1906,860,2016,NA,NA,NA,Timor-Leste
TTO,1906,52,1970,1,NA,NA,Trinidad & Tobago
TUN,1906,616,1959,2,NA,NA,Tunisia
TUR,1906,640,1967,2,NA,NA,Turkey
TZA,1906,510,2002,1,NA,NA,Tanzania
UGA,1906,500,2005,1,NA,NA,Uganda
UKR,1906,369,1961,2,NA,NA,Ukraine
URY,1906,165,1989,2,NA,NA,Uruguay
USA,1906,2,NA,1,NA,NA,United States
UZB,1906,704,1992,2,NA,NA,Uzbekistan
VEN,1906,101,1971,2,NA,NA,Venezuela
VNM,1906,816,1997,2,NA,NA,Vietnam
YEM,1906,679,1969,2,NA,NA,Yemen
ZAF,1906,560,1997,1,NA,NA,South Africa
ZMB,1906,551,1979,1,NA,NA,Zambia
ZWE,1906,552,1999,1,NA,NA,Zimbabwe
AFG,1907,700,1969,2,NA,NA,Afghanistan
AGO,1907,540,1976,2,NA,NA,Angola
ALB,1907,339,1997,2,NA,NA,Albania
ARE,1907,696,2001,1,NA,NA,United Arab Emirates
ARG,1907,160,1968,2,NA,NA,Argentina
ARM,1907,371,1994,2,NA,NA,Armenia
AUS,1907,900,1973,1,NA,NA,Australia
AUT,1907,305,1973,3,NA,NA,Austria
AZE,1907,373,1992,2,NA,NA,Azerbaijan
BDI,1907,516,1993,2,NA,NA,Burundi
BEL,1907,211,1977,2,NA,NA,Belgium
BEN,1907,434,1961,2,NA,NA,Benin
BFA,1907,439,1962,2,NA,NA,Burkina Faso
BGD,1907,771,1972,1,NA,NA,Bangladesh
BGR,1907,355,1960,3,NA,NA,Bulgaria
BHR,1907,692,2000,1,NA,NA,Bahrain
