iso3,year,cow_code,toa,legal_origin,dur_rat1membership,equalindx_WoL,country_names
BIH,1907,346,1993,3,NA,NA,Bosnia & Herzegovina
BLR,1907,370,1961,3,NA,NA,Belarus
BOL,1907,145,1977,2,NA,NA,Bolivia
BRA,1907,140,1965,2,NA,NA,Brazil
BTN,1907,NA,NA,NA,NA,NA,Bhutan
BWA,1907,571,1997,1,NA,NA,Botswana
CAF,1907,482,1964,2,NA,NA,Central African Republic
CAN,1907,20,1964,1,NA,NA,Canada
CHE,1907,225,1961,3,NA,NA,Switzerland
CHL,1907,155,1971,2,NA,NA,Chile
CHN,1907,710,2006,3,NA,NA,China
CIV,1907,437,1961,2,NA,NA,Côte d’Ivoire
CMR,1907,471,1988,2,NA,NA,Cameroon
COD,1907,490,2001,2,NA,NA,Congo - Kinshasa
COG,1907,484,1999,2,NA,NA,Congo - Brazzaville
COL,1907,100,1969,2,NA,NA,Colombia
COM,1907,581,2004,2,NA,NA,Comoros
CPV,1907,402,1979,2,NA,NA,Cape Verde
CRI,1907,94,1962,2,NA,NA,Costa Rica
CUB,1907,40,1965,NA,NA,NA,Cuba
CYP,1907,352,1968,1,NA,NA,Cyprus
CZE,1907,316,1993,3,NA,NA,Czechia
DEU,1907,255,1961,3,NA,NA,Germany
DJI,1907,522,2005,2,NA,NA,Djibouti
DNK,1907,390,1960,4,NA,NA,Denmark
DOM,1907,42,1964,2,NA,NA,Dominican Republic
DZA,1907,615,1969,2,NA,NA,Algeria
ECU,1907,130,1962,2,NA,NA,Ecuador
EGY,1907,651,1960,2,NA,NA,Egypt
ESP,1907,230,1967,2,NA,NA,Spain
EST,1907,366,2005,3,NA,NA,Estonia
ETH,1907,530,1966,2,NA,NA,Ethiopia
FIN,1907,375,1970,4,NA,NA,Finland
FJI,1907,950,2002,1,NA,NA,Fiji
FRA,1907,220,1981,2,NA,NA,France
GAB,1907,481,1961,2,NA,NA,Gabon
GBR,1907,200,1999,1,NA,NA,United Kingdom
GEO,1907,372,1993,3,NA,NA,Georgia
GHA,1907,452,1961,1,NA,NA,Ghana
GIN,1907,438,1960,2,NA,NA,Guinea
GMB,1907,420,2000,1,NA,NA,Gambia
GNB,1907,404,1977,2,NA,NA,Guinea-Bissau
GNQ,1907,411,2001,2,NA,NA,Equatorial Guinea
GRC,1907,350,1984,2,NA,NA,Greece
GTM,1907,90,1960,2,NA,NA,Guatemala
GUY,1907,110,1975,1,NA,NA,Guyana
HND,1907,91,1960,2,NA,NA,Honduras
HRV,1907,344,1991,3,NA,NA,Croatia
HTI,1907,41,1976,2,NA,NA,Haiti
HUN,1907,310,1961,3,NA,NA,Hungary
IDN,1907,850,1999,2,NA,NA,Indonesia
IND,1907,750,1960,1,NA,NA,India
IRL,1907,205,1999,1,NA,NA,Ireland
IRN,1907,630,1964,2,NA,NA,Iran
IRQ,1907,645,1959,2,NA,NA,Iraq
ISR,1907,666,1959,1,NA,NA,Israel
ITA,1907,325,1963,2,NA,NA,Italy
JAM,1907,51,1975,1,NA,NA,Jamaica
JOR,1907,663,1963,2,NA,NA,Jordan
JPN,1907,740,NA,3,NA,NA,Japan
KAZ,1907,705,1999,2,NA,NA,Kazakhstan
KEN,1907,501,2001,1,NA,NA,Kenya
KGZ,1907,703,1992,2,NA,NA,Kyrgyzstan
KHM,1907,811,1999,2,NA,NA,Cambodia
KOR,1907,732,1998,3,NA,NA,South Korea
KWT,1907,690,1966,2,NA,NA,Kuwait
LAO,1907,812,2008,2,NA,NA,Laos
LBN,1907,660,1977,2,NA,NA,Lebanon
LBR,1907,450,1959,1,NA,NA,Liberia
LBY,1907,620,1961,2,NA,NA,Libya
LKA,1907,780,1998,1,NA,NA,Sri Lanka
LSO,1907,570,1998,1,NA,NA,Lesotho
LTU,1907,368,1994,2,NA,NA,Lithuania
LUX,1907,212,2001,2,NA,NA,Luxembourg
LVA,1907,367,1992,3,NA,NA,Latvia
MAR,1907,600,1963,2,NA,NA,Morocco
MDA,1907,359,1996,2,NA,NA,Moldova
MDG,1907,580,1961,2,NA,NA,Madagascar
MEX,1907,70,1961,2,NA,NA,Mexico
MKD,1907,343,1991,2,NA,NA,North Macedonia
MLI,1907,432,1964,2,NA,NA,Mali
MMR,1907,775,NA,5,NA,NA,Myanmar (Burma)
MNE,1907,341,2006,NA,NA,NA,Montenegro
MNG,1907,712,1969,3,NA,NA,Mongolia
MOZ,1907,541,1977,2,NA,NA,Mozambique
MRT,1907,435,1963,2,NA,NA,Mauritania
MUS,1907,590,2002,2,NA,NA,Mauritius
MWI,1907,553,1965,1,NA,NA,Malawi
MYS,1907,820,NA,1,NA,NA,Malaysia
NAM,1907,565,2001,1,NA,NA,Namibia
NER,1907,436,1962,2,NA,NA,Niger
NGA,1907,475,2002,1,NA,NA,Nigeria
NIC,1907,93,1967,2,NA,NA,Nicaragua
NLD,1907,210,1973,2,NA,NA,Netherlands
NOR,1907,385,1959,4,NA,NA,Norway
NPL,1907,790,1974,1,NA,NA,Nepal
NZL,1907,920,1983,1,NA,NA,New Zealand
OMN,1907,698,NA,2,NA,NA,Oman
PAK,1907,770,1961,1,NA,NA,Pakistan
PAN,1907,95,1966,2,NA,NA,Panama
PER,1907,135,1970,2,NA,NA,Peru
PHL,1907,840,1960,2,NA,NA,Philippines
PNG,1907,910,2000,1,NA,NA,Papua New Guinea
POL,1907,290,1961,3,NA,NA,Poland
PRK,1907,NA,NA,NA,NA,NA,North Korea
PRT,1907,235,1959,2,NA,NA,Portugal
PRY,1907,150,1967,2,NA,NA,Paraguay
QAT,1907,694,1976,2,NA,NA,Qatar
ROU,1907,360,1973,2,NA,NA,Romania
RUS,1907,365,1961,2,NA,NA,Russia
RWA,1907,517,1981,2,NA,NA,Rwanda
SAU,1907,670,1978,1,NA,NA,Saudi Arabia
SDN,1907,625,1970,1,NA,NA,Sudan
