"","iso3","year","cow_code","region","confidence","toa","country_names"
"129","SDN",1880,625,"Africa",NA,NA,"Sudan"
"130","SEN",1880,433,"Africa",NA,NA,"Senegal"
"131","SGP",1880,830,"South-eastern Asia","Medium",1959,"Singapore"
"132","SLB",1880,940,"Oceania",NA,NA,"Solomon Islands"
"133","SLE",1880,451,"Africa",NA,NA,"Sierra Leone"
"134","SLV",1880,92,"Americas","High",1949,"El Salvador"
"135","SOM",1880,NA,NA,NA,NA,"Somalia"
"136","SRB",1880,345,"Central and Eastern Europe","Medium",1922,"Serbia"
"137","SSD",1880,626,"Africa",NA,NA,"South Sudan"
"138","SUR",1880,115,"Americas","Medium",NA,"Suriname"
"139","SVK",1880,317,"Central and Eastern Europe","Medium",1888,"Slovakia"
"140","SVN",1880,349,"Central and Eastern Europe","Medium",1888,"Slovenia"
"141","SWE",1880,380,"Northern Europe","Medium",1928,"Sweden"
"142","SWZ",1880,572,"Africa",NA,NA,"Eswatini"
"143","SYR",1880,652,"Western Asia",NA,NA,"Syria"
"144","TCD",1880,483,"Africa",NA,NA,"Chad"
"145","TGO",1880,461,"Africa",NA,NA,"Togo"
"146","THA",1880,800,"South-eastern Asia","Medium",1974,"Thailand"
"147","TJK",1880,702,"Central Asia","Low",1922,"Tajikistan"
"148","TKM",1880,701,"Central Asia","Low",1922,"Turkmenistan"
"149","TLS",1880,860,"Asia","(very) Low",1999,"Timor-Leste"
"150","TTO",1880,52,"Americas","High",1951,"Trinidad & Tobago"
"151","TUN",1880,616,"Africa","High",1991,"Tunisia"
"152","TUR",1880,640,"Western Asia","Low",1946,"Turkey"
"153","TZA",1880,510,"Africa",NA,NA,"Tanzania"
"154","UGA",1880,500,"Africa",NA,NA,"Uganda"
"155","UKR",1880,369,"Central and Eastern Europe","Medium",1912,"Ukraine"
"156","URY",1880,165,"Americas","High",1931,"Uruguay"
"157","USA",1880,2,"Americas","High",1965,"United States"
"158","UZB",1880,704,"Central Asia","Low",1922,"Uzbekistan"
"159","VEN",1880,101,"Americas","High",1912,"Venezuela"
"160","VNM",1880,816,"South-eastern Asia","Medium",1976,"Vietnam"
"161","YEM",1880,679,"Western Asia",NA,NA,"Yemen"
"162","ZAF",1880,560,"Africa",NA,NA,"South Africa"
"163","ZMB",1880,551,"Africa",NA,NA,"Zambia"
"164","ZWE",1880,552,"Africa",NA,NA,"Zimbabwe"
"165","AFG",1881,700,"Southern Asia",NA,NA,"Afghanistan"
"166","AGO",1881,540,"Africa","Low",1975,"Angola"
"167","ALB",1881,339,"Central and Eastern Europe","Medium",1946,"Albania"
"168","ARE",1881,696,"Western Asia",NA,NA,"United Arab Emirates"
"169","ARG",1881,160,"Americas","High",1944,"Argentina"
"170","ARM",1881,371,"Central and Eastern Europe","Low",1912,"Armenia"
"171","AUS",1881,900,"Oceania","Medium",1953,"Australia"
"172","AUT",1881,305,"Western Europe","High",1888,"Austria"
"173","AZE",1881,373,"Central and Eastern Europe","Low",1912,"Azerbaijan"
"174","BDI",1881,516,"Africa",NA,NA,"Burundi"
"175","BEL",1881,211,"Western Europe",NA,NA,"Belgium"
"176","BEN",1881,434,"Africa",NA,NA,"Benin"
"177","BFA",1881,439,"Africa",NA,NA,"Burkina Faso"
"178","BGD",1881,771,"Southern Asia","Low",1947,"Bangladesh"
"179","BGR",1881,355,"Central and Eastern Europe","Medium",1888,"Bulgaria"
"180","BHR",1881,692,"Western Asia",NA,NA,"Bahrain"
"181","BIH",1881,346,"Central and Eastern Europe","Medium",1922,"Bosnia & Herzegovina"
"182","BLR",1881,370,"Central and Eastern Europe","Medium",1912,"Belarus"
"183","BOL",1881,145,"Americas","High",1938,"Bolivia"
"184","BRA",1881,140,"Americas","High",1923,"Brazil"
"185","BTN",1881,760,"Southern Asia","Medium",1961,"Bhutan"
"186","BWA",1881,571,"Africa",NA,NA,"Botswana"
"187","CAF",1881,482,"Africa",NA,NA,"Central African Republic"
"188","CAN",1881,20,"Americas","High",1958,"Canada"
"189","CHE",1881,225,"Western Europe","Medium",1911,"Switzerland"
"190","CHL",1881,155,"Americas","High",1924,"Chile"
"191","CHN",1881,710,"Eastern Asia","High",1951,"China"
"192","CIV",1881,437,"Africa",NA,NA,"Côte d’Ivoire"
"193","CMR",1881,471,"Africa",NA,NA,"Cameroon"
"194","COD",1881,490,"Africa","High",1984,"Congo - Kinshasa"
"195","COG",1881,484,"Africa",NA,NA,"Congo - Brazzaville"
"196","COL",1881,100,"Americas","High",1938,"Colombia"
"197","COM",1881,NA,NA,NA,NA,"Comoros"
"198","CPV",1881,402,"Africa","(very) Low",1978,"Cape Verde"
"199","CRI",1881,94,"Americas","High",1941,"Costa Rica"
"200","CUB",1881,40,"Americas","High",1909,"Cuba"
"201","CYP",1881,352,"Western Asia","Medium",1957,"Cyprus"
"202","CZE",1881,316,"Central and Eastern Europe","Medium",1888,"Czechia"
