"","iso3","year","cow_code","x1","toa","country_names"
"1917","NZL",1891,920,42,1938,"New Zealand"
"1918","OMN",1891,698,42,NA,"Oman"
"1919","PAK",1891,770,42,1962,"Pakistan"
"1920","PAN",1891,95,42,1941,"Panama"
"1921","PER",1891,135,42,1936,"Peru"
"1922","PHL",1891,840,42,1954,"Philippines"
"1923","PNG",1891,910,42,NA,"Papua New Guinea"
"1924","POL",1891,290,42,1920,"Poland"
"1925","PRK",1891,NA,NA,NA,"North Korea"
"1926","PRT",1891,235,42,1935,"Portugal"
"1927","PRY",1891,150,42,1943,"Paraguay"
"1928","QAT",1891,694,42,NA,"Qatar"
"1929","ROU",1891,360,42,1930,"Romania"
"1930","RUS",1891,365,42,1912,"Russia"
"1931","RWA",1891,517,42,NA,"Rwanda"
"1932","SAU",1891,670,42,NA,"Saudi Arabia"
"1933","SDN",1891,625,42,NA,"Sudan"
"1934","SEN",1891,433,42,1952,"Senegal"
"1935","SGP",1891,830,42,1953,"Singapore"
"1936","SLB",1891,940,42,NA,"Solomon Islands"
"1937","SLE",1891,451,42,NA,"Sierra Leone"
"1938","SLV",1891,92,42,1949,"El Salvador"
"1939","SOM",1891,NA,NA,NA,"Somalia"
"1940","SRB",1891,345,42,1922,"Serbia"
"1941","SSD",1891,NA,NA,NA,"South Sudan"
"1942","SUR",1891,NA,NA,NA,"Suriname"
"1943","SVK",1891,317,42,1888,"Slovakia"
"1944","SVN",1891,349,42,1922,"Slovenia"
"1945","SWE",1891,380,42,1891,"Sweden"
"1946","SWZ",1891,572,42,NA,"Eswatini"
"1947","SYR",1891,652,42,NA,"Syria"
"1948","TCD",1891,483,42,1952,"Chad"
"1949","TGO",1891,461,42,1956,"Togo"
"1950","THA",1891,800,42,1990,"Thailand"
"1951","TJK",1891,702,42,1997,"Tajikistan"
"1952","TKM",1891,701,42,1994,"Turkmenistan"
"1953","TLS",1891,NA,NA,NA,"Timor-Leste"
"1954","TTO",1891,52,42,1939,"Trinidad & Tobago"
"1955","TUN",1891,616,42,1960,"Tunisia"
"1956","TUR",1891,640,42,1945,"Turkey"
"1957","TZA",1891,510,42,1997,"Tanzania"
"1958","UGA",1891,500,42,NA,"Uganda"
"1959","UKR",1891,369,42,1912,"Ukraine"
"1960","URY",1891,165,42,1958,"Uruguay"
"1961","USA",1891,2,42,1965,"United States"
"1962","UZB",1891,704,42,1955,"Uzbekistan"
"1963","VEN",1891,101,42,1940,"Venezuela"
"1964","VNM",1891,816,42,1961,"Vietnam"
"1965","YEM",1891,679,42,NA,"Yemen"
"1966","ZAF",1891,560,42,2001,"South Africa"
"1967","ZMB",1891,551,42,1973,"Zambia"
"1968","ZWE",1891,552,42,NA,"Zimbabwe"
"1969","AFG",1892,NA,NA,NA,"Afghanistan"
"1970","AGO",1892,NA,NA,NA,"Angola"
"1971","ALB",1892,339,42,1947,"Albania"
"1972","ARE",1892,NA,NA,NA,"United Arab Emirates"
"1973","ARG",1892,160,42,1934,"Argentina"
"1974","ARM",1892,371,42,1912,"Armenia"
"1975","AUS",1892,900,42,1944,"Australia"
"1976","AUT",1892,305,42,1888,"Austria"
"1977","AZE",1892,373,42,1912,"Azerbaijan"
"1978","BDI",1892,516,42,NA,"Burundi"
"1979","BEL",1892,211,42,1894,"Belgium"
"1980","BEN",1892,434,42,1952,"Benin"
"1981","BFA",1892,439,42,1952,"Burkina Faso"
"1982","BGD",1892,771,42,1939,"Bangladesh"
"1983","BGR",1892,355,42,1918,"Bulgaria"
"1984","BHR",1892,692,42,NA,"Bahrain"
"1985","BIH",1892,NA,NA,NA,"Bosnia & Herzegovina"
"1986","BLR",1892,370,42,1955,"Belarus"
"1987","BOL",1892,145,42,1949,"Bolivia"
"1988","BRA",1892,140,42,1923,"Brazil"
"1989","BTN",1892,NA,NA,NA,"Bhutan"
"1990","BWA",1892,571,42,NA,"Botswana"
"1991","CAF",1892,482,42,1952,"Central African Republic"
"1992","CAN",1892,20,42,1996,"Canada"
"1993","CHE",1892,225,42,1911,"Switzerland"
"1994","CHL",1892,155,42,1924,"Chile"
"1995","CHN",1892,710,42,1951,"China"
"1996","CIV",1892,437,42,1955,"Côte d’Ivoire"
"1997","CMR",1892,471,42,1956,"Cameroon"
"1998","COD",1892,490,42,NA,"Congo - Kinshasa"
"1999","COG",1892,484,42,1956,"Congo - Brazzaville"
"2000","COL",1892,100,42,1938,"Colombia"
"2001","COM",1892,NA,NA,NA,"Comoros"
"2002","CPV",1892,402,42,1976,"Cape Verde"
"2003","CRI",1892,94,42,1941,"Costa Rica"
"2004","CUB",1892,40,42,1934,"Cuba"
"2005","CYP",1892,352,42,1957,"Cyprus"
"2006","CZE",1892,316,42,1888,"Czechia"
"2007","DEU",1892,255,42,1883,"Germany"
"2008","DJI",1892,522,42,1956,"Djibouti"
"2009","DNK",1892,390,42,1892,"Denmark"
"2010","DOM",1892,42,42,1947,"Dominican Republic"
"2011","DZA",1892,615,42,1949,"Algeria"
"2012","ECU",1892,130,42,1935,"Ecuador"
"2013","EGY",1892,651,42,1959,"Egypt"
"2014","ESP",1892,230,42,1929,"Spain"
"2015","EST",1892,366,42,1924,"Estonia"
"2016","ETH",1892,530,42,NA,"Ethiopia"
"2017","FIN",1892,375,42,1963,"Finland"
"2018","FJI",1892,950,42,NA,"Fiji"
"2019","FRA",1892,220,42,1928,"France"
"2020","GAB",1892,481,42,1952,"Gabon"
"2021","GBR",1892,200,42,1911,"United Kingdom"
"2022","GEO",1892,372,42,1964,"Georgia"
"2023","GHA",1892,452,42,2003,"Ghana"
"2024","GIN",1892,438,42,1960,"Guinea"
"2025","GMB",1892,420,42,NA,"Gambia"
"2026","GNB",1892,NA,NA,NA,"Guinea-Bissau"
"2027","GNQ",1892,411,42,1947,"Equatorial Guinea"
"2028","GRC",1892,350,42,1922,"Greece"
"2029","GTM",1892,90,42,1952,"Guatemala"
"2030","GUY",1892,110,42,1969,"Guyana"
"2031","HND",1892,91,42,1959,"Honduras"
"2032","HRV",1892,344,42,1954,"Croatia"
"2033","HTI",1892,41,42,NA,"Haiti"
"2034","HUN",1892,310,42,1891,"Hungary"
"2035","IDN",1892,850,42,1957,"Indonesia"
"2036","IND",1892,750,42,1948,"India"
"2037","IRL",1892,205,42,1911,"Ireland"
"2038","IRN",1892,630,42,1949,"Iran"
"2039","IRQ",1892,NA,NA,NA,"Iraq"
"2040","ISR",1892,666,42,1953,"Israel"
"2041","ITA",1892,325,42,1912,"Italy"
"2042","JAM",1892,51,42,1965,"Jamaica"
"2043","JOR",1892,663,42,1978,"Jordan"
"2044","JPN",1892,740,42,1922,"Japan"
"2045","KAZ",1892,705,42,1999,"Kazakhstan"
"2046","KEN",1892,501,42,1966,"Kenya"
"2047","KGZ",1892,703,42,1922,"Kyrgyzstan"
"2048","KHM",1892,NA,NA,NA,"Cambodia"
"2049","KOR",1892,732,42,1963,"South Korea"
